host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;mes;ano
within an hour;98%;f;58.0;-2.298.415;-4.320.738;Apartment;Private room;1;;1.0;1.0;Real Bed;{};$291.00;;;1;$0.00;1;1125;5;88.0;10.0;9.0;9.0;9.0;10.0;9.0;f;f;strict_14_with_grace_period;4;2018
within a day;100%;f;1.0;-2.296.869;-431.825;Serviced apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private living room"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}";$524.00;$2,080.00;$333.00;3;$624.00;7;1125;8;98.0;10.0;10.0;9.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;4;2018
a few days or more;0%;f;2.0;-229.155;-4.317.754;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49""}";$133.00;;$100.00;1;$100.00;1;1125;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;flexible;4;2018
;;f;1.0;-2.297.187;-43.187;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",""Pets allowed"",""Pets live on this property"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""No stairs or steps to enter"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Wide entrance"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""No stairs or steps to enter"",""Wide entryway"",""Host greets you""}";$299.00;$400.00;$150.00;4;$100.00;3;1125;21;97.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;4;2018
within a day;92%;f;61.0;-2.298.684;-4.320.925;Serviced apartment;Entire home/apt;5;2.0;2.0;5.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}";$1,227.00;$832.00;$146.00;4;$208.00;3;89;11;93.0;9.0;9.0;9.0;9.0;9.0;9.0;f;f;strict_14_with_grace_period;4;2018
;;f;1.0;-2.300.678;-4.335.017;House;Private room;1;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Family/kid friendly""}";$299.00;;$50.00;1;$0.00;3;60;1;;10.0;8.0;8.0;8.0;8.0;8.0;t;f;strict_14_with_grace_period;4;2018
within a day;92%;f;61.0;-2.298.362;-4.319.045;Apartment;Entire home/apt;4;2.5;2.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Family/kid friendly"",""Suitable for events"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}";$1,227.00;$1,040.00;$187.00;1;$0.00;3;90;1;;;;;;;;f;f;strict_14_with_grace_period;4;2018
within an hour;100%;f;23.0;-2.297.052;-4.318.807;Apartment;Entire home/apt;10;4.0;3.0;8.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Pets allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",Refrigerator,Oven,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",Beachfront,""Paid parking on premises""}";$341.00;$1,372.00;$320.00;2;$69.00;3;1125;25;91.0;9.0;9.0;10.0;10.0;9.0;9.0;t;f;moderate;4;2018
;;f;1.0;-2.298.405;-4.322.371;Apartment;Entire home/apt;4;2.0;2.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer}";$229.00;;;1;$0.00;300;365;0;;;;;;;;f;f;strict_14_with_grace_period;4;2018
;;f;2.0;-2.296.735;-4.318.582;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Elevator,""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Babysitter recommendations"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed"",""Well-lit path to entrance"",""No stairs or steps to enter"",""No stairs or steps to enter"",""No stairs or steps to enter""}";$179.00;;;1;$100.00;3;14;18;96.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;flexible;4;2018
within a day;92%;f;61.0;-2.298.574;-4.319.723;Apartment;Entire home/apt;6;2.0;3.0;4.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",Doorman,Gym,Elevator,""Free street parking"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}";$1,460.00;$832.00;$208.00;1;$0.00;3;90;3;93.0;9.0;8.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;4;2018
within an hour;100%;t;2.0;-2.298.525;-4.319.614;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Wide entrance for guests"",""Well-lit path to entrance"",""No stairs or steps to enter"",""No stairs or steps to enter""}";$220.00;$700.00;$150.00;1;$0.00;2;365;123;94.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;4;2018
;;f;1.0;-2.296.374;-4.322.129;Apartment;Private room;4;;1.0;;Real Bed;{};$1,248.00;;;1;$0.00;1;1125;0;;;;;;;;f;f;flexible;4;2018
within an hour;100%;t;3.0;-2.298.281;-4.324.237;Apartment;Private room;2;1.5;1.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Children’s books and toys"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Host greets you""}";$100.00;$500.00;$150.00;1;$0.00;1;360;28;95.0;10.0;9.0;10.0;10.0;9.0;9.0;f;f;strict_14_with_grace_period;4;2018
within a day;92%;f;61.0;-2.298.441;-43.205;Apartment;Entire home/apt;6;2.0;3.0;5.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}";$894.00;$500.00;$150.00;5;$50.00;3;90;2;100.0;9.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;4;2018
within a day;92%;f;61.0;-2.298.572;-4.318.899;Apartment;Entire home/apt;6;2.5;3.0;3.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Free street parking"",""Family/kid friendly"",""Suitable for events"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}";$1,277.00;$832.00;$208.00;1;$0.00;3;90;2;96.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;4;2018
;;f;1.0;-2.296.158;-431.745;Apartment;Entire home/apt;4;1.5;1.0;2.0;Real Bed;"{Internet,Wifi,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Suitable for events"",Essentials,Hangers}";$832.00;$2,080.00;;2;$208.00;2;1125;10;92.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;4;2018
within an hour;100%;f;4.0;-2.296.289;-4.317.242;Apartment;Entire home/apt;6;2.0;3.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Long term stays allowed"",""Host greets you""}";$341.00;$900.00;$295.00;6;$200.00;3;30;8;93.0;9.0;8.0;10.0;10.0;9.0;9.0;t;f;strict_14_with_grace_period;4;2018
within a day;92%;f;61.0;-2.298.685;-4.318.861;Loft;Entire home/apt;6;2.5;3.0;4.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",Doorman,Elevator,""Free street parking"",""Family/kid friendly"",""Suitable for events"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}";$4,118.00;$2,080.00;$312.00;1;$0.00;7;90;3;98.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;4;2018
;;f;1.0;-2.291.671;-4.323.046;Apartment;Entire home/apt;4;2.0;1.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""First aid kit"",Shampoo}";$129.00;$800.00;$140.00;1;$160.00;2;7;10;80.0;9.0;7.0;10.0;10.0;9.0;7.0;t;f;moderate;4;2018
within a day;100%;f;2.0;-2.296.429;-4.317.585;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Host greets you""}";$449.00;;$150.00;2;$25.00;3;30;42;90.0;10.0;10.0;10.0;10.0;9.0;9.0;f;f;strict_14_with_grace_period;4;2018
;;f;2.0;-230.274;-4.346.699;Apartment;Entire home/apt;16;3.0;5.0;8.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Gym,""Pets live on this property"",Cat(s),Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer}";$2,080.00;$4,159.00;$582.00;1;$416.00;1;365;0;;;;;;;;f;f;strict_14_with_grace_period;4;2018
